Key_Id,Year,Match_Id,Match_Name,Team1,Team2,Result,Home_Team_Name,Away_Team_Name,Winner,Stage_Name,Group_Name,Group_Stage,Knockout_Stage,Replayed,Replay,Match_Date,Stadium_Id,Stadium_Name,City_Name,Country_Name,Home_Team_Id,Home_Team_Code,Away_Team_Id,Away_Team_Code,Score,Home_Team_Score,Away_Team_Score,Home_Team_Score_Margin,Away_Team_Score_Margin,Extra_Time,Penalty_Shootout,Score_Penalties,Home_Team_Score_Penalties,Away_Team_Score_Penalties,Home_Team_Win,Away_Team_Win,Draw,Unique_Teams
138,1962,M-1962-02,Chile v Switzerland,Chile,Switzerland,home team win,Chile,Switzerland,Chile,group stage,Group 2,1,0,0,0,5/30/1962,S-026,Estadio Nacional,Santiago,Chile,T-13,CHL,T-73,CHE,3–1,3,1,2,-2,0,0,0-0,0,0,1,0,0,NULL
139,1962,M-1962-03,Brazil v Mexico,Brazil,Mexico,home team win,Brazil,Mexico,Brazil,group stage,Group 3,1,0,0,0,5/30/1962,S-027,Estadio Sausalito,Viña del Mar,Chile,T-09,BRA,T-44,MEX,2–0,2,0,2,-2,0,0,0-0,0,0,1,0,0,NULL
140,1962,M-1962-04,Argentina v Bulgaria,Argentina,Bulgaria,home team win,Argentina,Bulgaria,Argentina,group stage,Group 4,1,0,0,0,5/30/1962,S-025,Estadio El Teniente,Rancagua,Chile,T-03,ARG,T-10,BGR,1–0,1,0,1,-1,0,0,0-0,0,0,1,0,0,NULL
141,1962,M-1962-05,Soviet Union v Yugoslavia,Soviet Union,Yugoslavia,home team win,Soviet Union,Yugoslavia,Soviet Union,group stage,Group 1,1,0,0,0,5/31/1962,S-024,Estadio Carlos Dittborn,Arica,Chile,T-70,SUN,T-84,YUG,2–0,2,0,2,-2,0,0,0-0,0,0,1,0,0,NULL
142,1962,M-1962-06,West Germany v Italy,West Germany,Italy,draw,West Germany,Italy,Draw,group stage,Group 2,1,0,0,0,5/31/1962,S-026,Estadio Nacional,Santiago,Chile,T-83,DEU,T-39,ITA,0–0,0,0,0,0,0,0,0-0,0,0,0,0,1,NULL
143,1962,M-1962-07,Czechoslovakia v Spain,Czechoslovakia,Spain,home team win,Czechoslovakia,Spain,Czechoslovakia,group stage,Group 3,1,0,0,0,5/31/1962,S-027,Estadio Sausalito,Viña del Mar,Chile,T-20,CSK,T-71,ESP,1–0,1,0,1,-1,0,0,0-0,0,0,1,0,0,NULL
144,1962,M-1962-08,Hungary v England,Hungary,England,home team win,Hungary,England,Hungary,group stage,Group 4,1,0,0,0,5/31/1962,S-025,Estadio El Teniente,Rancagua,Chile,T-34,HUN,T-27,ENG,2–1,2,1,1,-1,0,0,0-0,0,0,1,0,0,NULL
145,1962,M-1962-09,Yugoslavia v Uruguay,Yugoslavia,Uruguay,home team win,Yugoslavia,Uruguay,Yugoslavia,group stage,Group 1,1,0,0,0,06-02-1962,S-024,Estadio Carlos Dittborn,Arica,Chile,T-84,YUG,T-81,URY,3–1,3,1,2,-2,0,0,0-0,0,0,1,0,0,NULL
146,1962,M-1962-10,Chile v Italy,Chile,Italy,home team win,Chile,Italy,Chile,group stage,Group 2,1,0,0,0,06-02-1962,S-026,Estadio Nacional,Santiago,Chile,T-13,CHL,T-39,ITA,2–0,2,0,2,-2,0,0,0-0,0,0,1,0,0,NULL
147,1962,M-1962-11,Brazil v Czechoslovakia,Brazil,Czechoslovakia,draw,Brazil,Czechoslovakia,Draw,group stage,Group 3,1,0,0,0,06-02-1962,S-027,Estadio Sausalito,Viña del Mar,Chile,T-09,BRA,T-20,CSK,0–0,0,0,0,0,0,0,0-0,0,0,0,0,1,NULL
